Countries,"Inflation forecast, 2023",Global rank,Available data
Croatia,5,86,1993 - 2028
G.-Bissau,5,87,1981 - 2028
Namibia,5,88,1991 - 2028
Dominica,4.98,89,1980 - 2028
Domin. Rep.,4.89,90,1980 - 2028
Andorra,4.8,91,2002 - 2028
Portugal,4.78,92,1980 - 2028
Micronesia,4.74,93,2000 - 2028
Vietnam,4.74,94,1987 - 2028
Slovenia,4.68,95,1993 - 2028
Bhutan,4.65,96,1980 - 2028
San Marino,4.62,97,2004 - 2028
Ivory Coast,4.57,98,1981 - 2028
Philippines,4.53,99,1980 - 2028
Cape Verde,4.5,100,1981 - 2028
Tr.&Tobago,4.5,101,1981 - 2028
Eritrea,4.49,102,1993 - 2028
Latvia,4.49,103,1993 - 2028
Seychelles,4.49,104,1983 - 2028
India,4.48,105,1980 - 2028
Italy,4.45,106,1980 - 2028
Malta,4.44,107,1980 - 2028
C.A. Republic,4.42,108,1981 - 2028
Tanzania,4.32,109,1981 - 2028
UK,4.25,110,1980 - 2028
Solomon Isl.,4.2,111,1994 - 2028
Paraguay,4.12,112,1980 - 2028
Spain,4.09,113,1980 - 2028
Djibouti,4,114,1992 - 2028
Georgia,4,115,1997 - 2028
Australia,3.96,116,1989 - 2028
Barbados,3.91,117,1980 - 2028
Costa Rica,3.9,118,1980 - 2028
North Macedonia,3.9,119,1996 - 2028
Vanuatu,3.9,120,1980 - 2028
Albania,3.85,121,1991 - 2028
Jordan,3.85,122,1980 - 2028
Denmark,3.8,123,1980 - 2028
Ant.& Barb.,3.71,124,1980 - 2028
Somalia,3.7,125,2013 - 2028
Morocco,3.69,126,1980 - 2028
Togo,3.66,127,1981 - 2028
Bahamas,3.65,128,1980 - 2028
Bolivia,3.64,129,1980 - 2028
Germany,3.62,130,1992 - 2028
France,3.51,131,1980 - 2028
UA Emirates,3.42,132,1991 - 2028
Rwanda,3.4,133,1981 - 2028
New Zealand,3.33,134,1986 - 2028
Israel,3.3,135,1980 - 2028
R. of Congo,3.3,136,1981 - 2028
Grenada,3.25,137,1980 - 2028
China,3.18,138,1985 - 2028
Indonesia,3.18,139,1980 - 2028
Panama,3.15,140,1980 - 2028
Belize,3.12,141,1989 - 2028
Bulgaria,3.1,142,1989 - 2028
Burundi,3.1,143,1981 - 2028
Niger,3.05,144,1981 - 2028
USA,3.05,145,1980 - 2028
Greece,3.01,146,1980 - 2028
Ireland,3.01,147,1996 - 2028
Benin,3,148,1981 - 2028
Fiji,3,149,1994 - 2028
Mali,3,150,1991 - 2028
Peru,3,151,1982 - 2028
Cambodia,2.99,152,1988 - 2028
Canada,2.98,153,1980 - 2028
Norway,2.9,154,1980 - 2028
Malaysia,2.89,155,1980 - 2028
Libya,2.86,156,1980 - 2028
Saudi Arabia,2.8,157,1980 - 2028
Kuwait,2.79,158,1980 - 2028
Cyprus,2.75,159,1980 - 2028
Burkina Faso,2.72,160,1981 - 2028
South Korea,2.7,161,1980 - 2028
Chad,2.61,162,1981 - 2028
Luxembourg,2.55,163,1980 - 2028
Gabon,2.52,164,1990 - 2028
El Salvador,2.5,165,1980 - 2028
Macao,2.5,166,2002 - 2028
Saint Lucia,2.5,167,1980 - 2028
Hong Kong,2.47,168,1982 - 2028
St. Vincent & ...,2.46,169,1980 - 2028
Aruba,2.43,170,1987 - 2028
Netherlands,2.37,171,1981 - 2028
Japan,2.32,172,1980 - 2028
Thailand,2.32,173,1984 - 2028
Ecuador,2.3,174,1980 - 2028
Switzerland,2.22,175,1980 - 2028
Bahrain,2.15,176,1980 - 2028
Belgium,2.14,177,1980 - 2028
Puerto Rico,2.12,178,1981 - 2028
Brunei,2,179,1985 - 2028
Taiwan,1.7,180,1980 - 2028
Qatar,1.69,181,2010 - 2028
Oman,1.03,182,1991 - 2028
Comoros,0.47,183,1995 - 2028
Senegal,-0.79,184,1981 - 2028
Laos,-1.4,185,1988 - 2028
Kiribati,-2.2,186,1989 - 2028
